t,temp,flow-in,flow-out
0,0,100,0.0
1,0.025,100,1.25
2,0.0496875,100,4.984375000000001
3,0.07344140625000001,100,11.1408203125
4,0.09565620117187501,100,19.595700683593755
5,0.11575727600097657,100,30.16637454223633
6,0.13321568236541748,100,42.61502246055603
7,0.14756192675027846,100,56.653902916340826
8,0.15839845102119327,100,71.9519218049144
9,0.16541047056996466,100,88.1423678844723
10,0.1683748785988466,100,104.83163534291286
11,0.16716696976311837,100,121.60872776101112
12,0.1617647878228656,100,138.05531564031034
13,0.152250958912788,100,153.756102977093
14,0.13881193316851476,100,168.30924758115816
15,0.12173462127322521,100,181.33657530324513
16,0.10140047744741393,100,192.4933302392771
17,0.07827714488759466,100,201.4772113560275
18,0.05290784204858778,100,208.03646070283665
19,0.02589872687287862,100,211.97678914890997
20,-0.0020954704143488732,100,213.16695197183648
21,-0.030387208407307995,100,211.54281803075366
22,-0.05827291291499641,100,207.10981196463845
23,-0.08505036590615603,100,199.94364802358083
24,-0.11003627791205123,100,190.18931583267047
25,-0.13258360687021886,100,178.05832159355697
26,-0.1520981872686081,100,163.82423188661562
27,-0.16805424524026202,100,147.8166102611721
28,-0.18000839780555505,100,130.41347810888124
29,-0.18761176733277538,100,112.0324698519647
30,-0.19061988479576655,100,93.12088724553762
31,-0.18890010660715095,100,74.14488767539174
32,-0.1824363285259989,100,55.578065918734254
33,-0.17133084500568246,100,37.88970724215018
34,-0.15580327181622,100,21.53300140105506
35,-0.13618652216648378,100,6.933511701919873
36,-0.11291990009196375,100,-5.521809411002504
37,-0.08653944773921313,100,-15.494776802561347
38,-0.05766575353857279,100,-22.70503686645064
39,-0.02698949432196013,100,-26.93779925947729
40,0.004744955492909191,100,-28.05002620092984
41,0.03675746204314165,100,-25.974905324127295
42,0.06825118837417346,100,-20.72447280326154
43,0.09843230657498885,100,-12.390298055803425
44,0.1265298810889397,100,-1.1421886726069974
45,0.15181542825709143,100,12.77507679469456
46,0.1736216590584178,100,29.046931160470024
47,0.1913599262683003,100,47.29601042680593
48,0.20453592366159884,100,67.09080292330088
49,0.21276322293077363,100,87.95576025291952
50,0.21577428286754374,100,109.38263554283539
51,0.2134286239818349,100,130.8427808853043
52,0.20571792876050882,100,151.8001085224215
53,0.19276790162990343,100,171.72440004194215
54,0.1748368016194179,100,190.10463520440823
55,0.15231064281831583,100,206.4620074262949
56,0.1256951409617421,100,220.3622966152978
57,0.09560456680791767,100,231.4272820037808
58,0.06274774630697247,100,239.3448976595253
59,0.027911521892091146,100,243.87786106947846
60,-0.008057943375278466,100,244.8705399953191
61,-0.04427557837410824,100,242.25386390784976
62,-0.07983904435107068,100,236.04813277159082
63,-0.1138510775439684,100,226.36362667683886
64,-0.1454419842131781,100,213.39897358898153
65,-0.1737917276104235,100,197.43728799780146
66,-0.19815104960987387,100,178.8401491367866
67,-0.21786108689407052,100,158.0395423115894
68,-0.23237097247196786,100,135.52793934328747
69,-0.24125295730778973,100,111.84674285429959
70,-0.2442146430213646,100,87.57336283784187
71,-0.2411079837308251,100,63.30723150023238
72,-0.23193479160588318,100,39.65509273339698
73,-0.21684856478923242,100,17.215924913641196
74,-0.19615254601764273,100,-3.434130626702564
75,-0.17029401336096708,100,-21.756458595633056
76,-0.1398548987120588,100,-37.26390419928435
77,-0.10553892266223772,100,-49.533595267999175
78,-0.06815552384523793,100,-58.21831759337296
79,-0.028600944446894698,100,-63.05614100797959
80,0.012163090805100196,100,-63.878033690069316
81,0.053132599227617525,100,-60.61324918843343
82,0.09328591152472587,100,-53.29232365081625
83,0.13160899243742993,100,-42.047578452708464
84,0.16712088705060707,100,-27.111084478306612
85,0.1988986581701837,100,-8.810107217267074
86,0.22610118497450046,100,12.439884939967136
87,0.2479912137395087,100,36.14450487566759
88,0.26395508752059177,100,61.74181993867261
89,0.2735196325359236,100,88.61555594149839
90,0.276365743550549,100,116.10982474582201
91,0.2723382873640935,100,143.5450262915541
92,0.26145203079120494,100,170.23454219931904
93,0.24389339524137518,100,195.50181350094803
94,0.22001794186613818,100,218.6973803563237
95,0.19034359677705726,100,239.2154572884835
96,0.15553973245493638,100,256.50962375008316
97,0.11641232651741559,100,270.10722669870074
98,0.07388551984274042,100,279.62211901670855
99,0.02897999008856328,100,284.76539451327375
