t,temp,flow-in,flow-out
0,0,200.0,5.0
1,0.04875,200.0,5.0
2,0.0975,200.0,5.0
3,0.14625,200.0,5.0
4,0.195,200.0,5.0
5,0.24375000000000002,200.0,5.0
6,0.29250000000000004,200.0,5.0
7,0.34125000000000005,200.0,5.0
8,0.39000000000000007,200.0,5.0
9,0.4387500000000001,200.0,5.0
10,0.4875000000000001,200.0,5.0
11,0.5362500000000001,200.0,5.0
12,0.5850000000000001,200.0,5.0
13,0.63375,200.0,5.0
14,0.6825,200.0,5.0
15,0.73125,200.0,5.0
16,0.7799999999999999,200.0,5.0
17,0.8287499999999999,200.0,5.0
18,0.8774999999999998,200.0,5.0
19,0.9262499999999998,200.0,5.0
20,0.9749999999999998,200.0,5.0
21,1.0237499999999997,200.0,5.0
22,1.0724999999999998,200.0,5.0
23,1.1212499999999999,200.0,5.0
24,1.17,200.0,5.0
25,1.21875,200.0,5.0
26,1.2675,200.0,5.0
27,1.3162500000000001,200.0,5.0
28,1.3650000000000002,200.0,5.0
29,1.4137500000000003,200.0,5.0
30,1.4625000000000004,200.0,5.0
31,1.5112500000000004,200.0,5.0
32,1.5600000000000005,200.0,5.0
33,1.6087500000000006,200.0,5.0
34,1.6575000000000006,200.0,5.0
35,1.7062500000000007,200.0,5.0
36,1.7550000000000008,200.0,5.0
37,1.8037500000000009,200.0,5.0
38,1.852500000000001,200.0,5.0
39,1.901250000000001,200.0,5.0
40,1.950000000000001,200.0,5.0
41,1.9987500000000011,200.0,5.0
42,2.047500000000001,200.0,5.0
43,2.0962500000000013,200.0,5.0
44,2.1450000000000014,200.0,5.0
45,2.1937500000000014,200.0,5.0
46,2.2425000000000015,200.0,5.0
47,2.2912500000000016,200.0,5.0
48,2.3400000000000016,200.0,5.0
49,2.3887500000000017,200.0,5.0
50,2.4375000000000018,200.0,5.0
51,2.486250000000002,200.0,5.0
52,2.535000000000002,200.0,5.0
53,2.583750000000002,200.0,5.0
54,2.632500000000002,200.0,5.0
55,2.681250000000002,200.0,5.0
56,2.730000000000002,200.0,5.0
57,2.7787500000000023,200.0,5.0
58,2.8275000000000023,200.0,5.0
59,2.8762500000000024,200.0,5.0
60,2.9250000000000025,200.0,5.0
61,2.9737500000000026,200.0,5.0
62,3.0225000000000026,200.0,5.0
63,3.0712500000000027,200.0,5.0
64,3.1200000000000028,200.0,5.0
65,3.168750000000003,200.0,5.0
66,3.217500000000003,200.0,5.0
67,3.266250000000003,200.0,5.0
68,3.315000000000003,200.0,5.0
69,3.363750000000003,200.0,5.0
70,3.412500000000003,200.0,5.0
71,3.4612500000000033,200.0,5.0
72,3.5100000000000033,200.0,5.0
73,3.5587500000000034,200.0,5.0
74,3.6075000000000035,200.0,5.0
75,3.6562500000000036,200.0,5.0
76,3.7050000000000036,200.0,5.0
77,3.7537500000000037,200.0,5.0
78,3.8025000000000038,200.0,5.0
79,3.851250000000004,200.0,5.0
80,3.900000000000004,200.0,5.0
81,3.948750000000004,200.0,5.0
82,3.997500000000004,200.0,5.0
83,4.046250000000004,200.0,5.0
84,4.095000000000004,200.0,5.0
85,4.143750000000004,200.0,5.0
86,4.192500000000004,200.0,5.0
87,4.241250000000004,200.0,5.0
88,4.2900000000000045,200.0,5.0
89,4.3387500000000045,200.0,5.0
90,4.387500000000005,200.0,5.0
91,4.436250000000005,200.0,5.0
92,4.485000000000005,200.0,5.0
93,4.533750000000005,200.0,5.0
94,4.582500000000005,200.0,5.0
95,4.631250000000005,200.0,5.0
96,4.680000000000005,200.0,5.0
97,4.728750000000005,200.0,5.0
98,4.777500000000005,200.0,5.0
99,4.826250000000005,200.0,5.0
